application_date,segment,branch_id,state,zone,case_count
2017-04-01,1,1.0,WEST BENGAL,EAST,40.0
2017-04-03,1,1.0,WEST BENGAL,EAST,5.0
2017-04-04,1,1.0,WEST BENGAL,EAST,4.0
2017-04-05,1,1.0,WEST BENGAL,EAST,113.0
2017-04-07,1,1.0,WEST BENGAL,EAST,76.0
2017-04-12,1,1.0,WEST BENGAL,EAST,123.0
2017-04-13,1,1.0,WEST BENGAL,EAST,81.0
2017-04-14,1,1.0,WEST BENGAL,EAST,117.0
2017-04-15,1,1.0,WEST BENGAL,EAST,127.0
2017-04-16,1,1.0,WEST BENGAL,EAST,42.0
2017-04-17,1,1.0,WEST BENGAL,EAST,145.0
2017-04-18,1,1.0,WEST BENGAL,EAST,100.0
2017-04-19,1,1.0,WEST BENGAL,EAST,140.0
2017-04-20,1,1.0,WEST BENGAL,EAST,81.0
2017-04-21,1,1.0,WEST BENGAL,EAST,120.0
2017-04-22,1,1.0,WEST BENGAL,EAST,79.0
2017-04-23,1,1.0,WEST BENGAL,EAST,41.0
2017-04-24,1,1.0,WEST BENGAL,EAST,111.0
2017-04-25,1,1.0,WEST BENGAL,EAST,115.0
2017-04-26,1,1.0,WEST BENGAL,EAST,124.0
2017-04-27,1,1.0,WEST BENGAL,EAST,114.0
2017-04-28,1,1.0,WEST BENGAL,EAST,114.0
2017-04-29,1,1.0,WEST BENGAL,EAST,127.0
2017-04-30,1,1.0,WEST BENGAL,EAST,497.0
2017-05-01,1,1.0,WEST BENGAL,EAST,130.0
2017-05-02,1,1.0,WEST BENGAL,EAST,17.0
2017-05-03,1,1.0,WEST BENGAL,EAST,11.0
2017-05-04,1,1.0,WEST BENGAL,EAST,18.0
2017-05-05,1,1.0,WEST BENGAL,EAST,188.0
2017-05-07,1,1.0,WEST BENGAL,EAST,26.0
2017-05-08,1,1.0,WEST BENGAL,EAST,0.0
2017-05-09,1,1.0,WEST BENGAL,EAST,1.0
2017-05-10,1,1.0,WEST BENGAL,EAST,147.0
2017-05-11,1,1.0,WEST BENGAL,EAST,97.0
2017-05-12,1,1.0,WEST BENGAL,EAST,124.0
2017-05-13,1,1.0,WEST BENGAL,EAST,88.0
2017-05-14,1,1.0,WEST BENGAL,EAST,50.0
2017-05-15,1,1.0,WEST BENGAL,EAST,170.0
2017-05-16,1,1.0,WEST BENGAL,EAST,132.0
2017-05-17,1,1.0,WEST BENGAL,EAST,143.0
2017-05-18,1,1.0,WEST BENGAL,EAST,107.0
2017-05-19,1,1.0,WEST BENGAL,EAST,98.0
2017-05-20,1,1.0,WEST BENGAL,EAST,96.0
2017-05-21,1,1.0,WEST BENGAL,EAST,47.0
2017-05-22,1,1.0,WEST BENGAL,EAST,137.0
2017-05-23,1,1.0,WEST BENGAL,EAST,115.0
2017-05-24,1,1.0,WEST BENGAL,EAST,121.0
2017-05-25,1,1.0,WEST BENGAL,EAST,99.0
2017-05-26,1,1.0,WEST BENGAL,EAST,111.0
2017-05-27,1,1.0,WEST BENGAL,EAST,109.0
2017-05-28,1,1.0,WEST BENGAL,EAST,66.0
2017-05-29,1,1.0,WEST BENGAL,EAST,133.0
2017-05-30,1,1.0,WEST BENGAL,EAST,122.0
2017-05-31,1,1.0,WEST BENGAL,EAST,488.0
2017-06-01,1,1.0,WEST BENGAL,EAST,0.0
2017-06-02,1,1.0,WEST BENGAL,EAST,39.0
2017-06-03,1,1.0,WEST BENGAL,EAST,40.0
2017-06-04,1,1.0,WEST BENGAL,EAST,29.0
